what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.0.200712171,org.eclipse.datatools.connectivity.apache.derby.ui,1204574310741
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.200711021,org.eclipse.datatools.enablement.postgresql.ui,1204574310750
stopped,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.200710291,org.eclipse.datatools.sqltools.db.derby,1204574310752
stopped,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.200706131,org.eclipse.datatools.sqltools.db.generic,1204574310756
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.200711151,org.eclipse.datatools.sqltools.debugger.core,1204574310763
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.200711151,org.eclipse.datatools.sqltools.routineeditor,1204574310771
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.0.200802051,org.eclipse.datatools.sqltools.sqlbuilder,1204574310789
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.200711151,org.eclipse.datatools.sqltools.sqlscrapbook,1204574310796
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.0.200801111,org.eclipse.datatools.sqltools.sqleditor,1204574310803
stopped,bundle,org.eclipse.jpt.core,1.1.0.v200712030000,org.eclipse.jpt.core,1204574310803
stopped,bundle,org.eclipse.jpt.db,1.1.0.v200711120000,org.eclipse.jpt.db,1204574310809
stopped,bundle,org.eclipse.datatools.sqltools.editor.core,1.0.0.200801031,org.eclipse.datatools.sqltools.editor.core,1204574310811
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.1.200711011,org.eclipse.datatools.connectivity.db.generic.ui,1204574310812
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.0.0.200711091,org.eclipse.datatools.connectivity.sqm.server.ui,1204574310822
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.0.1.200801241,org.eclipse.datatools.connectivity.sqm.core.ui,1204574310838
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.200709061,org.eclipse.datatools.sqltools.plan,1204574310839
stopped,bundle,org.eclipse.datatools.sqltools.result,1.0.0.200712181,org.eclipse.datatools.sqltools.result,1204574310849
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.200708161,org.eclipse.datatools.sqltools.common.ui,1204574310849
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.1.0.200802051,org.eclipse.datatools.connectivity.ui,1204574310852
stopped,bundle,org.eclipse.wst.jsdt.manipulation,1.0.0.v200712072133,org.eclipse.wst.jsdt.manipulation,1204574310858
stopped,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080204-1800,org.eclipse.ltk.core.refactoring,1204574310858
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20070826,org.eclipse.ui.externaltools,1204574310858
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.0.100.v20080108,org.eclipse.wst.server.preview.adapter,1204574310863
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.100.v20080108,org.eclipse.wst.server.http.ui,1204574310865
stopped,bundle,org.eclipse.wst.server.ui,1.0.305.v20080212b,org.eclipse.wst.server.ui,1204574310865
